gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_0-12,TenureGroup_13-24,TenureGroup_25-36,TenureGroup_37-48,TenureGroup_49-60,TenureGroup_61-72
1,0,1,1,1.0365705167604848,1,1,1,1,1,1,0,0,0,0.2192483902274622,0.8475099801269581,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,-1.2046463905950056,1,0,0,0,1,0,1,1,1,0.16444197629870802,-0.9147421718697873,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,1,1,1.4033151016004741,1,0,0,0,0,0,0,0,1,-1.5146272504276788,-0.4472386238907015,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
0,0,0,0,-0.7971524074394618,0,0,1,0,0,0,0,0,1,-1.1343039537705644,-0.8384253764699582,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1,0,1,1,-1.2861451872261143,1,0,0,0,0,0,0,0,1,-1.488054443674343,-1.002749302758447,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,1,1,1.5663126948626918,1,0,1,1,1,1,1,0,0,1.1692262316592064,2.1566297860425414,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,0,0,0,-1.0008993990172337,1,0,0,0,0,0,0,1,1,-0.34044135201466647,-0.819109953735593,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,-0.1859114327061462,1,0,0,1,0,1,1,0,1,0.8719429561062655,0.0799032145332838,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,1.5663126948626918,1,1,0,0,0,0,0,0,0,-1.36681601286225,-0.2767618894501964,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,0,1.4033151016004741,1,1,1,1,1,1,1,1,1,1.7720967848755051,2.4181900554477145,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,0,1,1,1.2403175083382567,1,1,1,1,1,1,1,1,1,0.8104933404891773,1.4484635420603087,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,0,0,0,-1.1231475939638966,1,0,0,0,0,0,1,0,1,0.5181924662024865,-0.8289983954084762,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0.1808331521338431,1,1,1,1,1,1,1,0,1,0.461725251851649,0.29670180463253915,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,0,1,0,0.832823525182713,1,1,0,1,1,1,1,1,1,1.5545319295825708,1.5416785855633537,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,0,0,1,-0.8379018057550162,1,0,0,0,0,0,0,0,1,-0.6792446381196942,-0.8004098118164297,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,1.5255632965471373,1,0,0,0,0,0,0,0,0,-1.5046624478951778,-0.4220560590970925,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,-1.2046463905950056,1,1,0,0,0,0,0,0,1,0.3122532138641368,-0.9107428465709766,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,-0.7564030091239073,1,1,0,1,1,0,0,0,1,0.5862852835079091,-0.4908356645107018,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,1.158818711707148,0,0,1,1,1,1,0,0,0,-0.7074782452951129,0.17346984707358687,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,0,0,0,-1.163896992279451,1,0,0,0,0,0,1,1,1,0.7789381324695913,-0.8487313301245851,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,-1.2861451872261143,1,0,0,0,0,0,1,1,0,0.8503525506191802,-0.9718094674797372,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,-0.9194006023861249,0,0,0,0,0,1,0,0,1,-1.1741631639005676,-0.8835606191279624,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,1,-0.38965842428391806,1,0,0,1,0,1,0,0,1,-0.32217254737174844,-0.4472386238907015,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,1,-0.2266608310217006,1,0,0,0,0,0,0,0,0,-1.4747680402976753,-0.7559118242884556,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
0,1,1,0,1.607062093178246,1,1,1,1,1,1,0,1,0,0.44677804805289767,1.4856440827503494,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,0,1,1,1.3625657032849199,0,0,0,0,0,1,1,1,0,-0.47994858746967795,0.46704669318407266,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,0,1,1,0.09933435550273437,1,1,0,1,1,1,1,1,1,1.4930823139654827,0.6506860422069266,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,0,1,-0.6543326317884421,-0.9917181967144751,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1,1,0,0,-0.8379018057550162,1,1,0,0,0,0,0,0,1,0.2757156045783002,-0.6477102980722855,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,-0.26741022933725495,0,0,1,1,0,0,0,1,1,-0.6759230372755272,-0.5033390496481919,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,-0.5934054158616899,0,0,0,0,1,1,0,0,1,-0.9898143170493026,-0.7447268980406833,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,0,1,0,-1.2046463905950056,0,0,0,1,0,0,0,0,0,-1.1691807626343174,-0.9701394195527613,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1.4033151016004741,1,0,0,0,0,0,0,0,0,-1.476428840719759,-0.42122103513360454,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,0,1,1,-0.8379018057550162,1,0,0,0,0,0,0,0,0,-1.4847328428301763,-0.9129622523686682,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
0,1,1,0,-0.022913839443928746,1,1,0,0,0,0,1,0,1,0.6958981113654179,0.1436067532214797,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1,1,0,0,-0.9601500007016792,1,1,0,0,0,0,0,1,1,0.6660037037679153,-0.6835504055577797,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,1,1,1,0.7920741268671586,1,1,0,1,1,0,1,1,1,0.5264964683129039,0.7812793952334699,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,-0.6341548141772443,1,0,0,0,0,0,0,0,0,-1.4930368449405937,-0.8631245063373373,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
1,1,0,0,1.5255632965471373,0,0,0,0,0,0,1,1,1,-0.6559934322105255,0.4230541148971569,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,0,0,1,-0.7564030091239073,1,1,1,0,0,1,0,0,1,0.6975589117875013,-0.5000429024238975,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0,0,1,1,-0.5934054158616899,1,0,1,1,0,1,0,0,1,-0.11623329503339824,-0.5337075527413573,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0.5475777369738324,0,0,1,0,1,1,1,1,1,-0.14114530136465026,0.25998272455389987,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,1,1,0,-0.7971524074394618,1,0,0,1,1,0,1,1,1,1.0961510130875338,-0.4676088137368408,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,0,-0.5526560175461356,1,0,0,0,0,0,1,0,1,0.455082050163315,-0.3545509639435437,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,-1.2046463905950056,1,0,1,1,0,1,0,1,0,0.2026403860066275,-0.9178625245754526,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1,0,1,1,1.1995681100227022,1,0,0,0,0,0,0,0,0,-1.473107239875592,-0.4761348478903489,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
0,1,0,0,0.22158255044939748,1,0,0,0,0,0,0,0,0,-1.488054443674343,-0.6882089603014491,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,-1.041648797332788,1,0,0,0,0,0,0,0,0,-1.519609651693929,-0.9622726148441121,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0.5475777369738324,1,0,0,0,0,0,0,1,0,-0.3105469444171641,0.17008580258997785,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,-0.8379018057550162,1,1,1,0,0,0,0,0,1,0.44179564678664707,-0.6120240107905917,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,-0.9194006023861249,1,0,0,0,0,0,0,0,0,-1.5079840487393448,-0.9283662470635374,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,-0.9601500007016792,1,0,0,0,1,0,0,0,1,0.2923236087991349,-0.7020967272731428,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,-0.3489090259683637,1,0,1,0,0,0,0,0,1,-0.46001898240467626,-0.45097425741156844,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,0,-1.163896992279451,1,1,0,1,0,0,1,0,1,0.8852293594829335,-0.8510386331815912,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0.5475777369738324,1,1,1,1,0,0,0,0,0,0.6394308970145799,0.679340548743459,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,1.4033151016004741,1,0,1,1,0,1,1,0,1,0.9118021662362689,1.6871924983585362,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,0,1,1,-0.7564030091239073,1,1,0,1,0,1,1,1,0,0.5132100649362364,-0.5119090324313572,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,1,0.4660789403427237,1,0,0,0,0,0,0,0,0,-1.5079840487393448,-0.668717743048455,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,-0.9601500007016792,1,0,0,0,0,0,0,0,0,-1.526252853382263,-0.9423419112945455,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,1,1,0.5630340775987405,-0.9756110239450901,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,1,0,0.9958211184449305,1,1,0,1,1,1,1,1,1,1.4748135093225647,1.7363490406301796,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,0,1,-1.49137604451851,-1.0027932513881044,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
1,1,1,0,1.4848138982315828,1,1,0,1,1,1,1,1,1,1.4930823139654827,2.3435213336600325,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0,0,1,1,1.3218163049693654,1,1,1,0,1,1,1,1,0,1.4714919084783975,2.2131257494669465,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0,1,0,0.7920741268671586,1,1,1,0,1,1,0,0,1,0.8835685590608495,1.0222277573293888,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,-1.163896992279451,1,0,0,0,0,0,0,0,1,-1.4897152440964267,-0.98154408894882,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,0,0,-1.5328960550705968,-1.00334260925882,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,0,0,-0.6393854279896908,-0.9915204278810176,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,1.607062093178246,1,1,1,1,1,0,0,1,1,1.1343494227954536,2.2502843158421593,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0.832823525182713,0,0,1,1,1,1,1,0,1,-0.3786397617225862,0.2537420191425691,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,1.607062093178246,0,0,1,1,1,1,1,1,0,0.07309795308411726,1.041521205748925,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0,0,0,0,-1.2453957889105598,1,0,0,0,0,0,0,0,0,0.15447717376620732,-0.9478354900017028,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,1,0,0,1.607062093178246,1,1,1,1,1,1,1,1,0,1.6209639464659096,2.4364946596999624,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,0,1,1,-1.2861451872261143,1,0,0,0,0,0,0,0,1,-0.6360638271455238,-0.9914764792513603,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,1,1.4033151016004741,1,1,0,0,0,0,0,0,1,-1.3319392039984972,-0.27318007613312983,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,-0.5934054158616899,1,0,0,0,0,0,0,0,0,-1.49137604451851,-0.8327340289293431,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
0,1,0,0,-1.2453957889105598,1,0,0,0,0,0,0,0,1,0.1777283796753755,-0.9505163564107955,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,-0.8379018057550162,1,1,0,0,0,1,1,1,0,0.30062761090955226,-0.6281092092451482,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0.3845801437116149,1,0,0,0,1,1,0,1,0,0.0498467471749486,0.20256383990669183,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,1,-0.06366323775948311,1,1,0,1,0,1,1,1,1,0.479994056494567,0.12563176369166099,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,1,0,1.4848138982315828,1,0,1,1,0,0,0,0,1,-0.37697896130050285,0.6603547407315234,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,0,1,1,1.4033151016004741,1,0,1,1,1,0,0,0,0,0.6576997016574979,1.448749208153081,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,0,1,1,0.7513247285516043,1,0,0,0,0,0,0,0,0,-1.5096448491614283,-0.5340151931489582,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1,0,0,0,1.3218163049693654,1,1,0,0,0,0,0,0,0,-1.3352608048426642,-0.30803133945133565,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
1,0,0,0,-0.30815962765280935,1,0,0,0,0,0,0,0,0,-1.4747680402976753,-0.7736450963551593,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,0,1.0365705167604848,1,1,0,0,1,1,1,1,1,1.232336647698378,1.5749257238990695,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,1,1,0,0.7920741268671586,1,0,1,0,1,1,1,1,1,1.3103942675363012,1.3973073371392601,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,1,0,0,0.1808331521338431,0,0,0,1,1,0,0,0,0,-0.9416511048088821,-0.43370244595626595,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,-1.163896992279451,1,1,0,0,0,0,0,0,0,-1.3651552124401665,-0.9687770120333864,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,1.2403175083382567,1,1,0,0,1,0,0,1,1,0.8171365421775109,1.4225997735070124,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
